QuizID,QuestionID,Difficulty,Correct,PreviousDifficulty,PreviousCorrect,WeakTopicFlag,Digestive System,Respiratory System,Circulatory System,Excretory System,Nervous System,Human Reproduction,Endocrine System,Genetics and Heredity,Immune System and Diseases,Biotechnology in Human Welfare
1,85,Medium,0,Medium,1,0,0,0,0,0,0,0,0,0,0,0
1,73,Medium,1,Easy,1,1,0,0,0,0,0,0,0,0,0,1
1,43,Easy,1,Medium,1,0,0,0,0,0,0,0,0,0,1,0
1,82,Medium,1,Easy,1,1,0,0,0,0,0,0,0,0,1,1
1,148,Hard,1,Medium,1,1,0,0,0,0,0,0,0,1,0,0
1,79,Medium,0,Medium,0,1,0,0,0,0,0,0,0,1,0,1
1,1,Easy,0,Medium,0,0,0,0,0,0,0,0,0,1,1,0
1,141,Hard,0,Medium,0,0,0,0,0,0,0,0,0,1,1,1
1,39,Easy,1,Easy,0,0,0,0,0,0,0,0,1,0,0,0
1,146,Hard,0,Medium,0,0,0,0,0,0,0,0,1,0,0,1
1,29,Easy,0,Hard,1,1,0,0,0,0,0,0,1,0,1,0
1,127,Hard,1,Hard,0,1,0,0,0,0,0,0,1,0,1,1
1,66,Medium,0,Easy,1,0,0,0,0,0,0,0,1,1,0,0
1,59,Medium,0,Medium,0,1,0,0,0,0,0,0,1,1,0,1
1,80,Medium,1,Medium,0,0,0,0,0,0,0,0,1,1,1,0
1,130,Hard,1,Medium,0,0,0,0,0,0,0,0,1,1,1,1
1,71,Medium,0,Easy,0,0,0,0,0,0,0,1,0,0,0,0
1,57,Medium,0,Easy,1,0,0,0,0,0,0,1,0,0,0,1
1,47,Easy,1,Medium,0,1,0,0,0,0,0,1,0,0,1,0
1,59,Medium,0,Hard,1,0,0,0,0,0,0,1,0,0,1,1
1,40,Easy,0,Easy,0,0,0,0,0,0,0,1,0,1,0,0
1,147,Hard,1,Hard,1,0,0,0,0,0,0,1,0,1,0,1
1,82,Medium,0,Medium,1,1,0,0,0,0,0,1,0,1,1,0
1,75,Medium,0,Easy,0,1,0,0,0,0,0,1,0,1,1,1
1,58,Medium,1,Easy,1,0,0,0,0,0,0,1,1,0,0,0
1,136,Hard,0,Easy,1,1,0,0,0,0,0,1,1,0,0,1
1,122,Hard,0,Hard,1,1,0,0,0,0,0,1,1,0,1,0
1,18,Easy,1,Medium,1,1,0,0,0,0,0,1,1,0,1,1
1,61,Medium,0,Easy,1,0,0,0,0,0,0,1,1,1,0,0
1,12,Easy,0,Easy,0,1,0,0,0,0,0,1,1,1,0,1
1,107,Hard,1,Hard,1,1,0,0,0,0,0,1,1,1,1,0
1,117,Hard,0,Hard,0,0,0,0,0,0,0,1,1,1,1,1
1,142,Hard,0,Medium,0,1,0,0,0,0,1,0,0,0,0,0
1,147,Hard,0,Easy,0,1,0,0,0,0,1,0,0,0,0,1
1,21,Easy,1,Hard,1,0,0,0,0,0,1,0,0,0,1,0
1,138,Hard,0,Easy,1,1,0,0,0,0,1,0,0,0,1,1
1,60,Medium,1,Medium,0,0,0,0,0,0,1,0,0,1,0,0
1,69,Medium,1,Medium,1,0,0,0,0,0,1,0,0,1,0,1
1,85,Medium,0,Easy,1,1,0,0,0,0,1,0,0,1,1,0
1,19,Easy,1,Hard,0,1,0,0,0,0,1,0,0,1,1,1
1,139,Hard,0,Easy,0,1,0,0,0,0,1,0,1,0,0,0
1,75,Medium,1,Easy,0,1,0,0,0,0,1,0,1,0,0,1
1,3,Easy,0,Medium,0,0,0,0,0,0,1,0,1,0,1,0
1,14,Easy,0,Hard,0,1,0,0,0,0,1,0,1,0,1,1
1,93,Medium,0,Hard,0,1,0,0,0,0,1,0,1,1,0,0
1,94,Medium,1,Hard,0,0,0,0,0,0,1,0,1,1,0,1
1,21,Easy,0,Hard,0,0,0,0,0,0,1,0,1,1,1,0
1,4,Easy,1,Hard,1,0,0,0,0,0,1,0,1,1,1,1
1,58,Medium,0,Hard,1,0,0,0,0,0,1,1,0,0,0,0
